,sample_id,lDDT-BS_0,lDDT-BS_1,lDDT-BS_2,lDDT-BS_3,lDDT-BS_4,lDDT-BS_5,lDDT-BS_6,lDDT-BS_7,lDDT-BS_8,lDDT-BS_9,lDDT-BS_10,lDDT-BS_11,lDDT-BS_12,lDDT-BS_13,lDDT-BS_14,lDDT-BS_15,lDDT-BS_16,lDDT-BS_17,lDDT-BS_18,lDDT-BS_19,lDDT-BS_20,lDDT-BS_21,lDDT-BS_22,lDDT-BS_23,lDDT-BS_24,lDDT-BS_25,lDDT-BS_26,lDDT-BS_27,lDDT-BS_28,lDDT-BS_29,lDDT-BS_30,lDDT-BS_31,lig_rmsd_0,lig_rmsd_1,lig_rmsd_2,lig_rmsd_3,lig_rmsd_4,lig_rmsd_5,lig_rmsd_6,lig_rmsd_7,lig_rmsd_8,lig_rmsd_9,lig_rmsd_10,lig_rmsd_11,lig_rmsd_12,lig_rmsd_13,lig_rmsd_14,lig_rmsd_15,lig_rmsd_16,lig_rmsd_17,lig_rmsd_18,lig_rmsd_19,lig_rmsd_20,lig_rmsd_21,lig_rmsd_22,lig_rmsd_23,lig_rmsd_24,lig_rmsd_25,lig_rmsd_26,lig_rmsd_27,lig_rmsd_28,lig_rmsd_29,lig_rmsd_30,lig_rmsd_31,clash_0,clash_1,clash_2,clash_3,clash_4,clash_5,clash_6,clash_7,clash_8,clash_9,clash_10,clash_11,clash_12,clash_13,clash_14,clash_15,clash_16,clash_17,clash_18,clash_19,clash_20,clash_21,clash_22,clash_23,clash_24,clash_25,clash_26,clash_27,clash_28,clash_29,clash_30,clash_31
24,6FE5A,0.7758022384210066,0.802876390516758,0.7887222089550712,0.7776007123968818,0.8040716167200695,0.7791496779430996,0.80651295049624,0.7952723225409334,0.7439978109164671,0.7869456586512652,0.795253074304624,0.7779472497376528,0.7958633337508548,0.774982179430398,0.798651091077111,0.7787285663864829,0.7931351695548404,0.7841437350619923,0.7848348272117701,0.7619301189075817,0.7891408184712584,0.7731607170267538,0.770268087359992,0.7975766414945776,0.7998050065203146,0.7921333157203414,0.7773367295211012,0.7552126070315187,0.8175979236310179,0.8004786426370795,0.8069185790690508,0.801425842398947,7.1206,10.6437,4.08508,11.6603,11.1126,9.07481,8.92783,7.49349,7.32754,9.18108,8.09725,3.65836,6.02311,4.45669,8.92694,9.3865,7.09728,2.09894,9.50062,8.20051,8.01105,7.61979,7.68187,7.35967,11.5618,6.32336,7.99029,3.77144,7.47151,8.80487,6.88824,8.64219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,6UWPA,0.8554766249656677,0.8613804078102112,0.8658443176746369,0.8280503499507904,0.8794270288944245,0.8753784763813018,0.8667900407314301,0.8781436455249786,0.8557113933563233,0.8766870296001434,0.8430879843235016,0.8178997552394867,0.8713833820819855,0.8845498478412628,0.8258251309394836,0.8780408847332001,0.8684188485145569,0.8622669672966004,0.8734559452533722,0.8761563742160797,0.8717607486248017,0.8689703500270843,0.8876091182231903,0.872176319360733,0.8747932696342469,0.8719387316703796,0.8771498239040375,0.854168940782547,0.8048359799385071,0.8672119987010956,0.8643203759193421,0.8662820613384247,6.66309,2.57929,8.80613,8.33563,5.23727,4.98146,4.75284,7.18575,3.14147,6.67706,5.96014,3.5231,5.15215,10.7641,7.5916,7.36085,4.58255,2.62234,7.26116,9.98838,8.87471,9.76795,6.62264,6.33916,7.2022,4.42489,6.3808,4.45987,7.9111,5.35775,4.86524,4.74879,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,6G2FA,0.840720941623052,0.8568131774663925,0.8517500162124634,0.7813453177611033,0.8568773766358694,0.7638375709454218,0.8517931252717972,0.8729968915383021,0.826162854830424,0.8217387795448303,0.8565515528122584,0.8503214220205942,0.8462425321340561,0.7663208544254303,0.7674804379542669,0.8710852116346359,0.8635942290226618,0.7789109448591868,0.8438670386870702,0.8731809258460999,0.8590371112028757,0.8761418461799622,0.8424864610036215,0.8492749184370041,0.8179293771584829,0.8630530734856924,0.7707326759894689,0.8475729177395502,0.836780235171318,0.8662172903617223,0.8731198112169901,0.869275818268458,5.44137,4.61057,6.28703,3.95159,5.02122,5.39487,6.2531,6.33973,5.99738,4.10063,6.72507,6.88226,7.34661,5.93701,5.74747,8.4852,1.50069,6.56036,4.99687,6.3721,5.62133,5.45066,4.65112,5.54219,4.58052,4.41814,4.53133,6.20036,4.58783,4.59726,3.49631,0.464608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,6N53A,0.8399108928792617,0.8080799158881692,0.8532194670508889,0.804460462401895,0.8598634144839119,0.8473595906706417,0.8143836400088142,0.8300852495081285,0.8473259245648104,0.8514530834029702,0.8193455864401424,0.8193568447056938,0.8182980418205261,0.8466409409747404,0.8218348131460302,0.8148850553175983,0.8098113992634941,0.8293790221214294,0.8500116432414335,0.8471757103415096,0.8351441867211286,0.801582792226006,0.848261230132159,0.7948878091924331,0.8374722845414105,0.8408108318553251,0.8322968903709861,0.8359963683521047,0.8297286629676819,0.8322413142989663,0.804644013152403,0.8267324251287124,6.64793,6.17026,6.7437,3.70711,2.51683,7.11739,3.37693,6.01367,5.02622,2.10522,4.09602,6.38604,3.92632,3.73082,8.92266,4.13205,5.39926,3.21046,2.96853,6.74659,2.34627,4.02999,2.51915,4.75747,5.45868,7.46595,5.03915,4.26927,6.77329,7.30413,5.96164,4.02732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,6G2CA,0.8099883523854342,0.7617752822962675,0.8488639864054593,0.8265946670012041,0.8263585730032488,0.833728627725081,0.8406833843751387,0.8053061420267279,0.8566596182909879,0.7387765862724998,0.7325583100318909,0.8530863902785562,0.8348845622756265,0.8410806818441912,0.7960833473639055,0.8550714796239679,0.8168809630654075,0.8359686732292175,0.843330746347254,0.8296655416488647,0.8497889096086676,0.7858799208294261,0.7929786931384694,0.735074677250602,0.8422111001881686,0.8395641825415872,0.8477060740644281,0.8537919087843462,0.8459950414570895,0.7509641376408663,0.8465324152599681,0.8030900142409585,4.73073,6.01921,5.98558,3.77234,6.92886,4.20604,5.95365,4.77961,4.79257,5.07535,3.71151,4.53119,5.3766,6.58032,3.98375,4.86371,4.88586,3.96015,4.77328,4.44428,4.09477,5.13512,5.7926,4.1252,6.89624,6.44147,2.95237,5.07334,4.57895,4.41942,5.64424,6.18439,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,6N0MA,0.8847362473607063,0.8841544389724731,0.8710509613156319,0.8909715451300144,0.903329998254776,0.8780394233763218,0.9151714704930782,0.8741542957723141,0.9152657277882099,0.8978608176112175,0.8755171373486519,0.8881438784301281,0.878537941724062,0.8866613060235977,0.8701386600732803,0.9017159417271614,0.9087846875190735,0.9148543290793896,0.8913032002747059,0.9210102036595345,0.8824559338390827,0.9057885818183422,0.9247716255486012,0.9140978530049324,0.875384297221899,0.8898117020726204,0.8874843940138817,0.9026152975857258,0.8945548757910728,0.9103132784366608,0.9127902872860432,0.9022224843502045,3.1054,3.72124,3.91885,4.30374,1.85558,3.39359,2.05299,4.50328,1.98322,1.99085,4.65342,2.00688,3.51252,4.64036,4.19387,2.02734,4.09494,1.96118,2.36061,4.17091,2.6972,4.0774,4.35865,1.01891,3.77029,3.24464,2.79028,1.69453,2.01101,4.32693,4.40611,1.4983,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,6UVYA,0.8302449285984039,0.8797643437981606,0.8615732654929161,0.8781255960464478,0.8873025834560394,0.8790101110935211,0.8452742978930473,0.8680650845170022,0.8718904852867126,0.885616809129715,0.875051885843277,0.8818523332476615,0.8794150203466415,0.8309182792901992,0.8685339987277985,0.8848511412739754,0.8418303281068802,0.8245022997260094,0.8774209782481194,0.853620582818985,0.8844511702656745,0.815140326321125,0.840549947321415,0.8798186972737312,0.8733779907226562,0.8808540120720864,0.8261782258749009,0.87740528434515,0.8811727374792099,0.8739939242601394,0.8844379097223282,0.839412571489811,4.86593,7.41163,7.70393,4.63875,7.39357,4.16988,6.61694,8.38064,7.23729,4.78388,7.0613,4.88257,8.93592,5.20765,6.96567,4.32602,7.52271,7.29385,8.7281,6.85589,7.5244,6.11425,6.35618,5.62422,6.0312,5.53278,7.42436,4.75075,5.96791,5.94644,5.08829,7.33289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
31,6V5LA,0.7973821600278218,0.7930800239245097,0.76112260222435,0.7897183656692505,0.7857107639312744,0.7628376086552938,0.7937734603881836,0.8013686100641887,0.7615326325098674,0.7999164740244548,0.7996757666269938,0.7987724542617798,0.7860339879989624,0.8036627610524495,0.7969926436742146,0.8029441515604655,0.7979308764139811,0.7958059231440227,0.8017048676808675,0.7690893133481344,0.7640215436617533,0.7914096593856812,0.7956908067067464,0.7895191828409831,0.7950336416562398,0.7865355730056762,0.7985461155573527,0.7851974566777548,0.7930952111879984,0.8038200338681539,0.796839956442515,0.7957942922910054,6.4404,5.79244,6.00145,5.90664,4.09251,4.41758,7.71007,6.46214,5.735,3.86003,3.68791,7.50064,3.39206,2.69865,6.60142,6.48497,7.6561,6.68205,2.61225,6.03678,3.57021,7.64248,4.64761,3.65321,7.46153,3.84208,5.57571,6.8606,3.69341,7.73066,5.08849,4.69278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
32,6DZ2A,0.8655805484108303,0.8099938592185145,0.8514665041280829,0.8433644408765046,0.8156767889209415,0.812477285447328,0.8557059194730676,0.8610624204511228,0.8615046026914016,0.8570803624132405,0.853332185226938,0.8635358901127524,0.8321881099887516,0.8675492185613384,0.8181067122065503,0.8279955348242884,0.8277022100013235,0.8682614772216134,0.8605751511843308,0.8664533029431882,0.7808463845563971,0.8220411577950353,0.8175991294176682,0.8498400605243185,0.8609747782997463,0.7955307234888491,0.8349558335283528,0.844659765129504,0.8631704605144003,0.8205706166184467,0.8304204059683759,0.8543210081432177,10.6864,5.0877,7.95035,8.58006,12.3199,9.73181,14.0325,10.9259,8.77284,8.67677,10.6839,10.8789,10.0144,9.39977,7.31759,8.91539,10.2056,9.67361,9.5199,15.5698,11.4311,9.83308,6.25392,8.1944,7.7558,9.43365,8.8559,6.26869,9.89575,15.2051,11.8186,10.5202,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
33,6MJQC,0.6145975457297431,0.6237692203786638,0.6228339076042175,0.6248468624220954,0.6192694339487288,0.6260108318593767,0.6199384530385336,0.615109791358312,0.6148951682779524,0.6221834686067369,0.6145620478524102,0.6238219969802432,0.6260194877783457,0.5810547636614906,0.6154302358627319,0.6047072609265646,0.6171838674280379,0.6178312533431582,0.6261303391721513,0.6230461365646787,0.6170547273423936,0.616956525378757,0.6275828878084818,0.6255821386973063,0.6256622109148238,0.625553333097034,0.6122560467984941,0.6197232339117262,0.6126422848966386,0.6214773323800828,0.6125274863508012,0.6250045961803861,13.135,29.2909,17.5262,18.9127,18.0055,16.8827,15.0943,15.7048,21.3256,14.7255,14.9259,21.9794,16.4986,16.0784,13.4526,18.1108,14.2051,15.0162,15.8095,21.6745,13.7941,19.7466,26.6916,21.9084,17.6757,18.4367,15.1042,22.6562,22.5249,15.5367,18.6522,15.6473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,6KQIA,0.8209612058556598,0.8264344334602356,0.8410263424334319,0.8031526337499204,0.8601485568544139,0.842420378456945,0.84107223023539,0.8174143096675044,0.8209051904471024,0.8561185468798098,0.824638501457546,0.8333680992541106,0.826716731423917,0.8504324114840963,0.8323545559592869,0.8519735595454341,0.8456029814222584,0.8533933214519335,0.8690354124359463,0.819716945938442,0.8161970221478007,0.8471175069394319,0.8278335721596427,0.8261924748835356,0.8340153227681699,0.8207165443378946,0.8621832261914792,0.8047240376472473,0.8604079536769701,0.8492460924646129,0.8209586765455164,0.8420023477595785,5.00742,7.60373,4.35976,8.50175,1.95126,3.99508,8.15389,5.06696,7.71819,4.24307,6.07971,3.40948,8.82218,6.28054,6.22437,6.76291,5.46625,4.64823,3.82314,6.67663,7.35054,6.65583,4.99975,3.60986,7.62566,4.25406,3.67802,4.32311,2.19248,7.7952,4.77791,5.70756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35,6UEGA,0.7876963648531172,0.7893090281221602,0.7714990576108297,0.7963014907307095,0.8091981709003448,0.8166674243079292,0.7892131706078848,0.8006479309664832,0.7977470060189565,0.7981826398107741,0.8001054028669993,0.7832425965203179,0.7735025650925107,0.7904687921206156,0.7886404395103455,0.7778100040223863,0.7845087084505293,0.7857234113746219,0.7773372232913971,0.7780269218815697,0.781496932109197,0.7998823357952966,0.794137073887719,0.7947702407836914,0.7954583929644691,0.7679856287108527,0.8195226920975579,0.8011389407846663,0.7910746700233884,0.7898176246219211,0.7849844064977434,0.7588029934300317,4.81858,7.84847,7.16967,5.40845,6.50683,7.93074,5.9443,6.9028,5.22859,5.12952,10.692,6.59209,6.13687,3.03438,4.89838,7.04326,4.33121,5.40111,5.7035,4.04407,7.98222,6.6728,7.50535,4.48567,5.37949,7.96233,6.97648,3.45484,4.64441,4.2547,5.97815,5.23505,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
36,6QMRA,0.7653032934123819,0.7974427572705529,0.7963619625026529,0.7960496544837952,0.7974556494842876,0.7950613864443519,0.7963060682470148,0.7938402769240466,0.7841742567040704,0.7920440191572363,0.774135641076348,0.7803223959424279,0.7930189818143845,0.8057188066569242,0.8028226061300798,0.7976290868087248,0.7960624870928851,0.8006414743986997,0.7794174890626561,0.7632458182898435,0.8078800480474125,0.7861501818353479,0.8000059046528556,0.8040601123463024,0.7947373281825673,0.8017640208656137,0.8017492104660381,0.7897252616557208,0.7993174371394244,0.7911839309063825,0.7956269464709542,0.800920077345588,4.65627,4.8033,3.68189,4.59699,5.324,5.0533,8.6768,5.40966,5.95118,5.49575,6.11602,5.66805,3.31746,4.39976,8.10376,3.42076,2.04141,5.9967,4.66043,5.77668,9.57691,6.00229,8.34111,7.11494,5.89601,8.18468,5.63092,3.00571,5.52508,8.66649,2.07553,8.57357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
37,6G27A,0.8437907338142395,0.8554658472537995,0.8793463230133056,0.8422097802162171,0.8559522807598114,0.8477187335491181,0.7861196815967559,0.8801380932331085,0.8688578367233276,0.893025928735733,0.8726798593997955,0.8794606328010559,0.7651048600673676,0.8632168352603913,0.8778590202331543,0.864447432756424,0.8677433431148529,0.8402822077274322,0.8840334296226502,0.8636927902698517,0.8773732602596283,0.8298843085765839,0.862173730134964,0.8861794710159302,0.8690884351730347,0.869075608253479,0.8629261732101441,0.8517179310321807,0.8694180548191071,0.8726659059524536,0.8792614638805389,0.8667265892028808,7.12141,6.44878,6.0435,3.96285,7.36973,5.55852,1.55049,3.85107,4.40322,5.9402,6.3007,7.75979,5.57085,3.90202,5.17869,9.42934,6.05,7.31457,6.39434,10.9895,6.2086,6.88069,7.27164,1.47856,6.61364,9.2858,6.36621,4.28265,7.63347,7.35464,7.01102,7.36232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
38,6G3CA,0.8645315734963668,0.8553006084341752,0.8603496143692418,0.8443280238854257,0.8603341140245137,0.8520250006725913,0.8555718817208943,0.8481439916711104,0.831401599080939,0.85520748401943,0.8734769538829201,0.8527904372466238,0.8471958574495817,0.8530626171513608,0.8576657426984686,0.8573222191710221,0.8356957090528387,0.8356698249515734,0.8552695763738531,0.8356992194527074,0.8052134639338443,0.8589153917212236,0.8625706685216803,0.8606669526351126,0.8546898427762484,0.8572103130189996,0.8653811561433893,0.8276986918951336,0.8556375001606188,0.8662022603185553,0.839919156149814,0.8494656023226286,7.05201,6.11059,5.1512,3.87211,3.59412,12.2993,3.78536,6.15704,6.39917,4.05152,9.82523,4.48825,10.6205,5.55711,7.43222,7.47025,8.8575,3.69947,6.4407,3.28692,7.59944,4.12841,2.72352,7.25525,5.35991,6.28434,9.71683,3.08309,5.23731,3.59575,2.81279,3.62344,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
39,6FCJA,0.8941916283220053,0.8955989312380552,0.8691662363708019,0.8967185337096453,0.8758919332176447,0.8898605946451426,0.8914188053458929,0.8840617425739765,0.892345966771245,0.892844170331955,0.8925340380519629,0.8994481544941664,0.8715946357697248,0.884619390591979,0.8946401067078114,0.8889550361782312,0.8809509761631489,0.9000582247972488,0.8882761243730783,0.8911633994430304,0.8968082629144192,0.8945188522338867,0.8954154513776302,0.9015776813030243,0.8983960933983326,0.8990163411945105,0.893005721271038,0.8891547583043575,0.8844242375344038,0.8986157216131687,0.8780223615467548,0.8780265562236309,5.38402,5.13184,5.88619,2.2095,5.02193,6.27848,3.56447,3.84931,3.02184,2.77666,4.88857,2.1553,5.4318,6.25619,3.31097,2.48376,2.73703,1.6472,4.93353,3.88362,6.6806,5.90829,5.79016,4.76328,4.34862,0.57305,3.45633,4.42684,3.35083,4.13414,5.01776,8.41332,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
40,6QUVA,0.8731281161308289,0.8710482716560364,0.8731281161308289,0.8702163100242615,0.8702163100242615,0.869800329208374,0.8702163100242615,0.8764559030532837,0.8714642524719238,0.8648086786270142,0.8993344306945801,0.8702163100242615,0.8710482716560364,0.8685523867607117,0.8760399222373962,0.8702163100242615,0.8764559030532837,0.8631447553634644,0.8752079606056213,0.8673045039176941,0.8685523867607117,0.8639767169952393,0.8710482716560364,0.8706322908401489,0.8702163100242615,0.8693843483924866,0.8660565614700317,0.8747920393943787,0.8693843483924866,0.8702163100242615,0.868136465549469,0.8764559030532837,4.35409,4.195,4.6086,6.76957,7.29417,7.92215,7.54096,3.48918,4.97779,5.51009,5.41364,5.96364,5.54091,6.96396,5.15453,6.55257,6.06916,6.69133,5.83183,8.10102,2.36897,7.56976,6.47762,6.7852,5.77335,5.07269,3.09773,6.23062,2.94695,6.56334,4.33086,6.33164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
41,6IQLA,0.8455285898276738,0.8366309319223676,0.8238080995423454,0.8397387564182281,0.8177792046751294,0.7979691284043449,0.8319116745676313,0.8104488381317684,0.8392249516078404,0.8085500087056842,0.8233628996780941,0.8338216543197632,0.8448553766523089,0.8162499283041272,0.819415169102805,0.8312001526355743,0.847165333373206,0.8418868354388646,0.8314446466309684,0.7675996252468654,0.831170699426106,0.8034308978489467,0.8495515840394157,0.8289226804460798,0.8359412338052478,0.8108233894620623,0.8335505681378501,0.8037470153399876,0.853161232812064,0.8177463114261627,0.8368834171976361,0.780319264956883,3.24859,4.66414,10.187,5.21689,11.519,4.71285,4.83076,2.59184,8.09125,8.99967,2.88977,2.90678,2.93283,6.82609,3.2076,4.07613,5.21055,5.3008,4.17349,12.949,5.79538,16.2175,3.62949,6.35078,8.5824,9.89085,8.03999,6.70087,7.71075,14.5015,7.74514,4.83645,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
42,6RNUA,0.7508949935436249,0.9028615653514862,0.880339652299881,0.8999166786670685,0.8959684371948242,0.8742992579936981,0.8584258854389191,0.8253118395805359,0.878834068775177,0.8705766499042511,0.8619000613689423,0.8621691167354584,0.8694806098937988,0.8690129220485687,0.8808309435844421,0.8703295290470123,0.8942587673664093,0.8737446963787079,0.8756905198097229,0.8444966673851013,0.8774044215679169,0.8710072338581085,0.8818919956684113,0.8740529716014862,0.8749769628047943,0.8712058961391449,0.9108136892318726,0.8802017271518707,0.8776253759860992,0.8618629574775696,0.8736957609653473,0.80230912566185,8.71413,3.8776,5.83285,8.51154,5.89245,7.11818,4.06312,5.73504,4.19269,3.00734,6.14496,7.82699,4.2782,3.26361,4.3093,2.81496,7.92848,4.38265,3.95635,6.15078,6.75773,3.14446,6.93176,3.10092,7.43183,4.13583,6.06927,1.65386,3.53419,3.58382,4.18735,4.31617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
43,6QTOA,0.8797641763320336,0.8511487451883463,0.8469573144729321,0.8791209849027487,0.8635274309378403,0.8857827828480647,0.8739457382605627,0.883321938606409,0.8623824165417597,0.8501459050637025,0.8675918911512082,0.8842169825847332,0.8422265889552923,0.8695797049082242,0.7817956713529733,0.8852502852678299,0.8815666116200961,0.8663001931630648,0.8795731102044766,0.871822367493923,0.8886574243123715,0.8803670647052618,0.8703343008573239,0.8762288093566895,0.8644599547752967,0.8286072256473395,0.8373272269964218,0.7599609849544672,0.8779476342292932,0.8765395031525538,0.7811349320870179,0.8521935504216415,13.2295,8.45013,6.31119,14.0194,13.3817,13.9125,9.29485,9.9593,12.083,13.9186,9.55418,12.1249,12.1198,12.1811,8.67228,13.6064,12.6047,15.652,13.1179,7.35491,12.2546,4.3016,10.1717,7.23798,14.4774,6.04098,7.32713,19.9819,13.4871,23.7284,12.0195,4.27641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,6DZ3A,0.8201333426910898,0.8638635122257731,0.8446982489979785,0.8112049115740735,0.8764867238376451,0.8585653836312501,0.8772445295168005,0.7965196720931841,0.8594525080660115,0.8711822797422824,0.8527616988057676,0.8640384829562643,0.8680679305740024,0.8655007235381914,0.8752328585023466,0.8557323955971262,0.8348738823247992,0.8681645419286645,0.8624818065892095,0.7650639000146285,0.8639046381349149,0.8650256848853567,0.8730961602667103,0.8136609559473784,0.8804597595463628,0.8742398619651794,0.8806720661080402,0.8729643329330112,0.8655386813308882,0.8673641500265702,0.8567133908686431,0.8717290694298951,8.75019,8.84131,3.65002,10.9877,9.4777,8.67468,7.04004,9.64818,7.58714,9.62901,11.9648,9.20198,8.76864,7.672,6.27561,11.0762,6.25159,16.9978,8.74377,8.43554,11.482,13.1613,10.6028,12.1434,11.869,3.69503,9.24775,10.9859,8.80886,10.2069,4.74169,8.34839,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
45,6CYHA,0.8541381563010969,0.8546988477832392,0.8447267130801552,0.8635171636154777,0.8598666018561313,0.8517505463800932,0.8503304892464688,0.8529209274994699,0.856627881526947,0.8502747338069113,0.852610562977038,0.8395279834144994,0.8441497667839652,0.8545150741150505,0.8607318777787057,0.8567999977814523,0.8439933406679254,0.8628824996320825,0.8265911764220187,0.8344697167998866,0.8569958868779635,0.8557157077287373,0.8410844520518654,0.8593633112154508,0.8580468610713357,0.8507490895296398,0.859195014363841,0.845654015478335,0.8473811792699915,0.8534141386810102,0.8544051506017384,0.8541579670027682,7.12262,3.46124,5.59569,6.12379,3.0135,6.32317,2.40693,4.4738,5.71528,3.01101,1.83813,4.08243,3.33227,5.0262,3.28757,5.17963,3.78357,4.80479,5.16097,6.24837,4.40055,5.42977,7.30936,7.24095,6.1985,6.84279,5.30871,5.77504,3.51789,3.4057,7.46227,6.98847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,5ZLFA,0.8225337771268991,0.7989078485048734,0.8258425547526433,0.841790075485523,0.8174778681534988,0.8279695327465351,0.8208751174119803,0.825437632890848,0.8241239052552444,0.8117203391515292,0.8338057307096628,0.7928061210192167,0.8215691126309909,0.8319213665448703,0.8352251924001254,0.8214871149796706,0.8405918799913846,0.8308903483244089,0.8518337423984821,0.8247656730505136,0.8332880001801711,0.8402641553145188,0.8316413989433875,0.8315080725229703,0.8260895609855652,0.8255638388487009,0.8176881212454575,0.8245474329361548,0.8416359149492704,0.8360050595723666,0.817303464962886,0.8374485144248376,11.0924,7.5324,10.8975,10.925,8.3093,5.76398,4.73058,5.45812,3.64029,7.51183,11.9844,5.12745,6.10092,12.6477,3.51606,5.52306,4.99867,7.29658,5.75057,4.62332,7.21989,2.05635,6.36289,5.73882,5.90096,9.27304,4.95155,4.27042,6.00732,12.684,2.86813,6.22049,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
47,6OM4A,0.7714993087358253,0.7746122091315514,0.8252208489318227,0.788378598385079,0.7739470337712487,0.8152679787125698,0.8089647993098857,0.8071930644124053,0.8073086579178654,0.8137809745101041,0.8265498398348342,0.8154240645641504,0.8124171682568484,0.7758410954198172,0.8127584706905276,0.7843162888704345,0.8009232594523319,0.8136234595332035,0.8106380617895792,0.8102974614431692,0.8240058054757673,0.8154275160889293,0.8178593343080476,0.818418028742768,0.824350697356601,0.8131209230700205,0.8091776086840519,0.8286387941171957,0.8004588249117829,0.8177665208661279,0.8205566267634548,0.8164692936941634,16.0431,25.5661,21.2344,14.4177,15.63,23.7992,15.104,28.1546,17.309,19.8912,17.0893,16.8698,13.6375,18.5979,20.619,23.6309,18.6233,21.7161,24.5639,17.4714,16.9671,24.4846,18.077,25.2144,16.13,18.4013,19.4653,30.6388,17.4768,18.268,18.4912,19.9882,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
48,6PGPA,0.748497862815857,0.7018056225776672,0.7805210018157959,0.7185861313343048,0.7720194315910339,0.7349765861034393,0.7599120891094208,0.7129124796390534,0.7608267307281494,0.7722940647602081,0.7467485308647156,0.7305781245231628,0.7731744360923767,0.7602627205848694,0.7594000959396362,0.7255980515480042,0.7014587855339051,0.7741167783737183,0.7713100230693817,0.7776389753818512,0.7335564589500427,0.7605688047409057,0.7668797409534455,0.7623049950599671,0.7745434188842774,0.7724239885807037,0.7244163489341736,0.7701737594604492,0.7681213676929474,0.7862560737133026,0.7521569693088531,0.732057330608368,11.1871,6.08588,7.5468,6.11009,13.2206,5.66951,9.42123,6.86229,7.46061,8.55788,6.22784,6.39009,8.86868,4.3369,7.78647,8.6858,6.02357,8.75702,6.79144,8.40411,10.4101,7.04729,8.86662,4.62104,8.91591,10.6205,7.04489,15.6355,7.74866,7.56193,8.02415,6.11145,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
